task_norm,occupation_norm,year,paper_year_count
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2023.0,12
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2024.0,40
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2025.0,10
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2023.0,3
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2024.0,6
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2025.0,3
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2023.0,1
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2024.0,1
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2023.0,3
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2024.0,21
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2025.0,9
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2023.0,2
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2024.0,9
administer employee benefit plans,human resources specialists,2024.0,4
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2023.0,14
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2024.0,57
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2025.0,18
administer online purchasing systems,purchasing managers,2024.0,10
administer online purchasing systems,purchasing managers,2025.0,1
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2024.0,5
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2025.0,1
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2023.0,4
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2024.0,13
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2025.0,7
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2023.0,5
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2024.0,18
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2025.0,16
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2023.0,7
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2024.0,7
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2025.0,5
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2023.0,1
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2024.0,4
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2023.0,3
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2024.0,20
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2025.0,3
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2024.0,4
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2023.0,4
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2024.0,14
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2025.0,4
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2024.0,2
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2024.0,3
advise students on academic and vocational curricula and career issues,"business teachers, postsecondary",2023.0,7
advise students on academic and vocational curricula and career issues,"business teachers, postsecondary",2024.0,25
advise students on academic and vocational curricula and career issues,"business teachers, postsecondary",2025.0,11
advise students on academic and vocational curricula and on career issues,"physics teachers, postsecondary",2023.0,7
advise students on academic and vocational curricula and on career issues,"physics teachers, postsecondary",2024.0,29
advise students on academic and vocational curricula and on career issues,"physics teachers, postsecondary",2025.0,21
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles",editors,2023.0,5
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles",editors,2024.0,37
"allocate print space for story text, photos, and illustrations according to space parameters and copy significance, using knowledge of layout principles",editors,2025.0,24
alter or modify designs to obtain specified functional or operational performance,automotive engineers,2023.0,17
alter or modify designs to obtain specified functional or operational performance,automotive engineers,2024.0,29
alter or modify designs to obtain specified functional or operational performance,automotive engineers,2025.0,13
"analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data",surveying and mapping technicians,2023.0,6
"analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data",surveying and mapping technicians,2024.0,13
"analyze aerial photographs to detect and interpret significant military, industrial, resource, or topographical data",surveying and mapping technicians,2025.0,2
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders",climate change policy analysts,2023.0,8
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders",climate change policy analysts,2024.0,33
"analyze and distill climate-related research findings to inform legislators, regulatory agencies, or other stakeholders",climate change policy analysts,2025.0,20
analyze and interpret data to increase the understanding of human social behavior,sociologists,2023.0,13
analyze and interpret data to increase the understanding of human social behavior,sociologists,2024.0,69
analyze and interpret data to increase the understanding of human social behavior,sociologists,2025.0,32
"analyze and interpret geological data, using computer software","geoscientists, except hydrologists and geographers",2023.0,6
"analyze and interpret geological data, using computer software","geoscientists, except hydrologists and geographers",2024.0,21
"analyze and interpret geological data, using computer software","geoscientists, except hydrologists and geographers",2025.0,14
"analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos","geoscientists, except hydrologists and geographers",2023.0,6
"analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos","geoscientists, except hydrologists and geographers",2024.0,18
"analyze and interpret geological, geochemical, or geophysical information from sources, such as survey data, well logs, bore holes, or aerial photos","geoscientists, except hydrologists and geographers",2025.0,11
analyze and interpret news and information received from various sources to broadcast the information,"news analysts, reporters, and journalists",2023.0,10
analyze and interpret news and information received from various sources to broadcast the information,"news analysts, reporters, and journalists",2024.0,54
analyze and interpret news and information received from various sources to broadcast the information,"news analysts, reporters, and journalists",2025.0,25
"analyze and interpret patient, nursing, or information systems data to improve nursing services",health informatics specialists,2023.0,46
"analyze and interpret patient, nursing, or information systems data to improve nursing services",health informatics specialists,2024.0,208
"analyze and interpret patient, nursing, or information systems data to improve nursing services",health informatics specialists,2025.0,96
analyze and interpret statistical data to identify significant differences in relationships among sources of information,statisticians,2023.0,25
analyze and interpret statistical data to identify significant differences in relationships among sources of information,statisticians,2024.0,108
analyze and interpret statistical data to identify significant differences in relationships among sources of information,statisticians,2025.0,58
analyze and maintain data logs for audio-visual activities,audio and video technicians,2023.0,11
analyze and maintain data logs for audio-visual activities,audio and video technicians,2024.0,19
analyze and maintain data logs for audio-visual activities,audio and video technicians,2025.0,8
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use",water/wastewater engineers,2023.0,4
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use",water/wastewater engineers,2024.0,7
"analyze and recommend chemical, biological, or other wastewater treatment methods to prepare water for industrial or domestic use",water/wastewater engineers,2025.0,5
"analyze and record test data to issue reports that use charts, graphs, or narratives",medical and clinical laboratory technicians,2023.0,7
"analyze and record test data to issue reports that use charts, graphs, or narratives",medical and clinical laboratory technicians,2024.0,41
"analyze and record test data to issue reports that use charts, graphs, or narratives",medical and clinical laboratory technicians,2025.0,22
analyze and report computer network security breaches or attempted breaches,computer network support specialists,2023.0,11
analyze and report computer network security breaches or attempted breaches,computer network support specialists,2024.0,28
analyze and report computer network security breaches or attempted breaches,computer network support specialists,2025.0,9
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans",loan officers,2023.0,1
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans",loan officers,2024.0,6
"analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans",loan officers,2025.0,7
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates",cost estimators,2023.0,3
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates",cost estimators,2024.0,34
"analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates",cost estimators,2025.0,9
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs",architectural and civil drafters,2024.0,13
"analyze building codes, by-laws, space and site requirements, and other technical documents and reports to determine their effect on architectural designs",architectural and civil drafters,2025.0,1
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice",accountants and auditors,2023.0,9
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice",accountants and auditors,2024.0,27
"analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice",accountants and auditors,2025.0,16
analyze changes designed to improve the environmental performance of complex systems and avoid unintended negative consequences,industrial ecologists,2023.0,10
analyze changes designed to improve the environmental performance of complex systems and avoid unintended negative consequences,industrial ecologists,2024.0,58
analyze changes designed to improve the environmental performance of complex systems and avoid unintended negative consequences,industrial ecologists,2025.0,31
"analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling",atmospheric and space scientists,2023.0,10
"analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling",atmospheric and space scientists,2024.0,47
"analyze climate data sets, using techniques such as geophysical fluid dynamics, data assimilation, or numerical modeling",atmospheric and space scientists,2025.0,24
analyze clinical data using appropriate statistical tools,clinical data managers,2023.0,43
analyze clinical data using appropriate statistical tools,clinical data managers,2024.0,206
analyze clinical data using appropriate statistical tools,clinical data managers,2025.0,98
"analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques",biostatisticians,2023.0,11
"analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques",biostatisticians,2024.0,41
"analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques",biostatisticians,2025.0,26
"analyze competitive market strategies through analysis of related product, market, or share trends",business intelligence analysts,2023.0,33
"analyze competitive market strategies through analysis of related product, market, or share trends",business intelligence analysts,2024.0,131
"analyze competitive market strategies through analysis of related product, market, or share trends",business intelligence analysts,2025.0,69
"analyze computer and information technologies to determine applicability to nursing practice, education, administration, and research",health informatics specialists,2023.0,10
analyze control or survey data to ensure adherence to project specifications or land survey standards,geodetic surveyors,2023.0,3
analyze control or survey data to ensure adherence to project specifications or land survey standards,geodetic surveyors,2024.0,15
analyze control or survey data to ensure adherence to project specifications or land survey standards,geodetic surveyors,2025.0,3
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money,credit analysts,2023.0,2
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money,credit analysts,2024.0,12
analyze credit data and financial statements to determine the degree of risk involved in extending credit or lending money,credit analysts,2025.0,11
"analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or geographic information systems (gis)",remote sensing scientists and technologists,2023.0,12
"analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or geographic information systems (gis)",remote sensing scientists and technologists,2024.0,32
"analyze data acquired from aircraft, satellites, or ground-based platforms, using statistical analysis software, image analysis software, or geographic information systems (gis)",remote sensing scientists and technologists,2025.0,15
"analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes",biofuels/biodiesel technology and product development managers,2023.0,6
"analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes",biofuels/biodiesel technology and product development managers,2024.0,15
"analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes",biofuels/biodiesel technology and product development managers,2025.0,11
analyze data from research conducted to detect and measure physical phenomena,physicists,2023.0,23
analyze data from research conducted to detect and measure physical phenomena,physicists,2024.0,97
analyze data from research conducted to detect and measure physical phenomena,physicists,2025.0,54
"analyze data from surveys, old records, or case studies, using statistical software",survey researchers,2023.0,23
"analyze data from surveys, old records, or case studies, using statistical software",survey researchers,2024.0,64
"analyze data from surveys, old records, or case studies, using statistical software",survey researchers,2025.0,43
analyze data gathered and develop solutions or alternative methods of proceeding,management analysts,2023.0,24
analyze data gathered and develop solutions or alternative methods of proceeding,management analysts,2024.0,93
analyze data gathered and develop solutions or alternative methods of proceeding,management analysts,2025.0,58
analyze data to recommend placement of wells and supplementary processes to enhance production,petroleum engineers,2023.0,13
analyze data to recommend placement of wells and supplementary processes to enhance production,petroleum engineers,2024.0,38
analyze data to recommend placement of wells and supplementary processes to enhance production,petroleum engineers,2025.0,22
analyze developments in specific field to determine need for revisions in previously published materials and development of new material,technical writers,2023.0,49
analyze developments in specific field to determine need for revisions in previously published materials and development of new material,technical writers,2024.0,199
analyze developments in specific field to determine need for revisions in previously published materials and development of new material,technical writers,2025.0,109
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility","electronics engineers, except computer",2023.0,17
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility","electronics engineers, except computer",2024.0,39
"analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility","electronics engineers, except computer",2025.0,14
analyze employment-related data and prepare required reports,human resources specialists,2023.0,9
analyze employment-related data and prepare required reports,human resources specialists,2024.0,24
analyze employment-related data and prepare required reports,human resources specialists,2025.0,12
"analyze energy bills, including utility rates or tariffs, to gather historical energy usage data",energy auditors,2023.0,5
"analyze energy bills, including utility rates or tariffs, to gather historical energy usage data",energy auditors,2024.0,16
"analyze energy bills, including utility rates or tariffs, to gather historical energy usage data",energy auditors,2025.0,4
"analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems",electro-mechanical and mechatronics technologists and technicians,2023.0,22
"analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems",electro-mechanical and mechatronics technologists and technicians,2024.0,55
"analyze engineering designs of logic or digital circuitry, motor controls, instrumentation, or data acquisition for implementation into new or existing automated, servomechanical, or other electromechanical systems",electro-mechanical and mechatronics technologists and technicians,2025.0,19
analyze equipment performance records to assess equipment functioning,"computer, automated teller, and office machine repairers",2023.0,1
analyze equipment performance records to assess equipment functioning,"computer, automated teller, and office machine repairers",2024.0,2
analyze equipment performance records to determine the need for repair or replacement,network and computer systems administrators,2023.0,10
analyze equipment performance records to determine the need for repair or replacement,network and computer systems administrators,2024.0,16
analyze equipment performance records to determine the need for repair or replacement,network and computer systems administrators,2025.0,4
analyze existing development or manufacturing procedures and suggest improvements,mechatronics engineers,2023.0,25
analyze existing development or manufacturing procedures and suggest improvements,mechatronics engineers,2024.0,45
analyze existing development or manufacturing procedures and suggest improvements,mechatronics engineers,2025.0,13
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes",air traffic controllers,2023.0,3
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes",air traffic controllers,2024.0,18
"analyze factors such as weather reports, fuel requirements, or maps to determine air routes",air traffic controllers,2025.0,3
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures","fraud examiners, investigators and analysts",2023.0,12
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures","fraud examiners, investigators and analysts",2024.0,38
"analyze financial data to detect irregularities in areas such as billing trends, financial relationships, and regulatory compliance procedures","fraud examiners, investigators and analysts",2025.0,26
"analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans",credit analysts,2023.0,11
"analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans",credit analysts,2024.0,23
"analyze financial data, such as income growth, quality of management, and market share to determine expected profitability of loans",credit analysts,2025.0,19
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives,personal financial advisors,2023.0,4
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives,personal financial advisors,2024.0,17
analyze financial information obtained from clients to determine strategies for meeting clients' financial objectives,personal financial advisors,2025.0,10
"analyze fuel cell or related test data, using statistical software",fuel cell engineers,2023.0,4
"analyze fuel cell or related test data, using statistical software",fuel cell engineers,2024.0,11
"analyze fuel cell or related test data, using statistical software",fuel cell engineers,2025.0,9
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales",geographers,2023.0,6
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales",geographers,2024.0,19
"analyze geographic distributions of physical and cultural phenomena on local, regional, continental, or global scales",geographers,2025.0,12
"analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions",precision agriculture technicians,2023.0,10
"analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions",precision agriculture technicians,2024.0,26
"analyze geospatial data to determine agricultural implications of factors such as soil quality, terrain, field productivity, fertilizers, or weather conditions",precision agriculture technicians,2025.0,11
analyze information about supplier performance or procurement program success,supply chain managers,2023.0,13
analyze information about supplier performance or procurement program success,supply chain managers,2024.0,31
analyze information about supplier performance or procurement program success,supply chain managers,2025.0,18
analyze information gathered by investigation and report findings and recommendations,"claims adjusters, examiners, and investigators",2023.0,4
analyze information gathered by investigation and report findings and recommendations,"claims adjusters, examiners, and investigators",2024.0,20
analyze information gathered by investigation and report findings and recommendations,"claims adjusters, examiners, and investigators",2025.0,12
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering",computer systems analysts,2023.0,118
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering",computer systems analysts,2024.0,358
"analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling, and information engineering",computer systems analysts,2025.0,140
analyze intelligence data to identify patterns and trends in criminal activity,intelligence analysts,2023.0,41
analyze intelligence data to identify patterns and trends in criminal activity,intelligence analysts,2024.0,150
analyze intelligence data to identify patterns and trends in criminal activity,intelligence analysts,2025.0,68
"analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service",supply chain managers,2023.0,1
"analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service",supply chain managers,2024.0,20
"analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service",supply chain managers,2025.0,7
"analyze job orders, drawings, blueprints, specifications, printed circuit board pattern films, and design data to calculate dimensions, tool selection, machine speeds, and feed rates",computer numerically controlled tool programmers,2023.0,13
"analyze job orders, drawings, blueprints, specifications, printed circuit board pattern films, and design data to calculate dimensions, tool selection, machine speeds, and feed rates",computer numerically controlled tool programmers,2024.0,54
"analyze job orders, drawings, blueprints, specifications, printed circuit board pattern films, and design data to calculate dimensions, tool selection, machine speeds, and feed rates",computer numerically controlled tool programmers,2025.0,27
"analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes",bioinformatics scientists,2023.0,25
"analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes",bioinformatics scientists,2024.0,127
"analyze large molecular datasets, such as raw microarray data, genomic sequence data, or proteomics data, for clinical or basic research purposes",bioinformatics scientists,2025.0,66
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis",logistics analysts,2023.0,23
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis",logistics analysts,2024.0,94
"analyze logistics data, using methods such as data mining, data modeling, or cost or benefit analysis",logistics analysts,2025.0,45
analyze market and delivery systems to assess present and future material availability,purchasing managers,2023.0,2
analyze market and delivery systems to assess present and future material availability,purchasing managers,2024.0,5
analyze monthly department budgeting and accounting reports to maintain expenditure controls,budget analysts,2023.0,2
analyze monthly department budgeting and accounting reports to maintain expenditure controls,budget analysts,2024.0,9
analyze monthly department budgeting and accounting reports to maintain expenditure controls,budget analysts,2025.0,8
"analyze network data to determine network usage, disk space availability, or server function",computer network support specialists,2023.0,7
"analyze network data to determine network usage, disk space availability, or server function",computer network support specialists,2024.0,20
"analyze network data to determine network usage, disk space availability, or server function",computer network support specialists,2025.0,11
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing",logistics engineers,2023.0,14
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing",logistics engineers,2024.0,48
"analyze or interpret logistics data involving customer service, forecasting, procurement, manufacturing, inventory, transportation, or warehousing",logistics engineers,2025.0,28
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques",bioinformatics technicians,2023.0,11
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques",bioinformatics technicians,2024.0,84
"analyze or manipulate bioinformatics data using software packages, statistical applications, or data mining techniques",bioinformatics technicians,2025.0,47
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government","compensation, benefits, and job analysis specialists",2023.0,2
"analyze organizational, occupational, and industrial data to facilitate organizational functions and provide technical information to business, industry, and government","compensation, benefits, and job analysis specialists",2024.0,5
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color",prepress technicians and workers,2024.0,1
"analyze originals to evaluate color density, gradation highlights, middle tones, and shadows, using densitometers and knowledge of light and color",prepress technicians and workers,2025.0,3
"analyze price proposals, financial reports, and other data and information to determine reasonable prices","purchasing agents, except wholesale, retail, and farm products",2023.0,8
"analyze price proposals, financial reports, and other data and information to determine reasonable prices","purchasing agents, except wholesale, retail, and farm products",2024.0,23
"analyze price proposals, financial reports, and other data and information to determine reasonable prices","purchasing agents, except wholesale, retail, and farm products",2025.0,11
analyze problems to develop solutions involving computer hardware and software,computer and information research scientists,2023.0,177
analyze problems to develop solutions involving computer hardware and software,computer and information research scientists,2024.0,597
analyze problems to develop solutions involving computer hardware and software,computer and information research scientists,2025.0,251
analyze product failure data and laboratory test results to determine causes of problems and develop solutions,materials engineers,2023.0,12
analyze product failure data and laboratory test results to determine causes of problems and develop solutions,materials engineers,2024.0,43
analyze product failure data and laboratory test results to determine causes of problems and develop solutions,materials engineers,2025.0,28
"analyze proposed site factors and design maps, graphs, tracings, and diagrams to illustrate findings",civil engineering technologists and technicians,2023.0,3
"analyze proposed site factors and design maps, graphs, tracings, and diagrams to illustrate findings",civil engineering technologists and technicians,2024.0,20
"analyze proposed site factors and design maps, graphs, tracings, and diagrams to illustrate findings",civil engineering technologists and technicians,2025.0,7
analyze quality control test results and provide feedback and interpretation to production management or staff,quality control systems managers,2023.0,2
analyze quality control test results and provide feedback and interpretation to production management or staff,quality control systems managers,2024.0,32
analyze quality control test results and provide feedback and interpretation to production management or staff,quality control systems managers,2025.0,18
"analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history",precision agriculture technicians,2023.0,8
"analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history",precision agriculture technicians,2024.0,30
"analyze remote sensing imagery to identify relationships between soil quality, crop canopy densities, light reflectance, and weather history",precision agriculture technicians,2025.0,11
"analyze research data to determine its significance, using computers",astronomers,2023.0,11
"analyze research data to determine its significance, using computers",astronomers,2024.0,31
"analyze research data to determine its significance, using computers",astronomers,2025.0,23
analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product,industrial engineers,2023.0,27
analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product,industrial engineers,2024.0,99
analyze statistical data and product specifications to determine standards and establish quality and reliability objectives of finished product,industrial engineers,2025.0,54
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices,human resources managers,2023.0,7
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices,human resources managers,2024.0,18
analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices,human resources managers,2025.0,11
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation,surveyors,2023.0,9
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation,surveyors,2024.0,48
analyze survey objectives and specifications to prepare survey proposals or to direct others in survey proposal preparation,surveyors,2025.0,12
"analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data",civil engineers,2023.0,6
"analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data",civil engineers,2024.0,24
"analyze survey reports, maps, drawings, blueprints, aerial photography, or other topographical or geologic data",civil engineers,2025.0,7
analyze system performance or operational requirements,photonics engineers,2023.0,8
analyze system performance or operational requirements,photonics engineers,2024.0,37
analyze system performance or operational requirements,photonics engineers,2025.0,12
"analyze test data for automotive systems, subsystems, or component parts",automotive engineering technicians,2023.0,3
"analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications",mechanical engineering technologists and technicians,2023.0,7
"analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications",mechanical engineering technologists and technicians,2024.0,30
"analyze test results in relation to design or rated specifications and test objectives, and modify or adjust equipment to meet specifications",mechanical engineering technologists and technicians,2025.0,12
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed",treasurers and controllers,2023.0,11
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed",treasurers and controllers,2024.0,33
"analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed",treasurers and controllers,2025.0,22
"analyze the probable outcomes of cases, using knowledge of legal precedents",lawyers,2023.0,6
"analyze the probable outcomes of cases, using knowledge of legal precedents",lawyers,2024.0,19
