task_norm,occupation_norm,year,company_year_count
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2025,5
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2006,1
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2011,2
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2012,1
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2014,4
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2015,6
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2016,7
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2017,5
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2018,4
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2019,11
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2020,16
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2021,13
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2022,17
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2023,16
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2024,30
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2025,15
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2016,1
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2019,1
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2020,1
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2021,1
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2023,3
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2024,1
adjust inventory records to reflect product movement,order clerks,2012,1
adjust inventory records to reflect product movement,order clerks,2014,1
adjust inventory records to reflect product movement,order clerks,2015,1
adjust inventory records to reflect product movement,order clerks,2016,1
adjust inventory records to reflect product movement,order clerks,2017,4
adjust inventory records to reflect product movement,order clerks,2018,3
adjust inventory records to reflect product movement,order clerks,2019,1
adjust inventory records to reflect product movement,order clerks,2020,7
adjust inventory records to reflect product movement,order clerks,2021,4
adjust inventory records to reflect product movement,order clerks,2022,9
adjust inventory records to reflect product movement,order clerks,2023,21
adjust inventory records to reflect product movement,order clerks,2024,21
adjust inventory records to reflect product movement,order clerks,2025,8
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2013,1
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2015,4
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2016,3
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2017,2
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2018,3
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2019,4
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2020,3
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2021,3
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2022,10
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2023,6
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2024,14
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2011,1
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2014,1
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2017,3
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2018,2
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2019,4
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2020,10
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2021,7
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2022,13
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2023,22
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2024,18
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2025,9
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2006,1
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2011,1
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2012,1
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2014,3
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2015,2
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2016,8
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2017,5
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2018,1
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2019,8
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2020,4
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2021,8
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2022,25
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2023,25
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2024,28
adjust sales scripts to better target the needs and interests of specific individuals,telemarketers,2025,11
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2007,1
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2010,1
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2014,1
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2016,1
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2018,3
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2019,5
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2020,8
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2021,6
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2022,8
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2023,19
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2024,16
"adjust settings for format, page layout, line spacing, and other style requirements",word processors and typists,2025,6
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2006,1
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2015,1
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2016,2
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2018,2
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2019,3
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2020,4
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2021,3
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2022,8
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2023,5
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2024,16
"adjust temperature, pressure, vacuum, level, flow rate, or transfer of biofuels to maintain processes at required levels",biofuels production managers,2025,5
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2007,1
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2013,1
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2014,1
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2015,2
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2016,2
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2017,6
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2018,5
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2019,7
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2020,8
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2021,11
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2022,12
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2023,14
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2024,18
"administer and score applicant and employee aptitude, personality, and interest assessment instruments","human resources assistants, except payroll and timekeeping",2025,11
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2013,1
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2014,1
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2015,3
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2016,1
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2017,6
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2018,5
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2019,11
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2020,7
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2021,13
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2022,16
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2023,14
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2024,16
"administer compensation, benefits, and performance management systems, and safety and recreation programs",human resources managers,2025,13
administer employee benefit plans,human resources specialists,2008,1
administer employee benefit plans,human resources specialists,2013,1
administer employee benefit plans,human resources specialists,2014,1
administer employee benefit plans,human resources specialists,2015,3
administer employee benefit plans,human resources specialists,2016,2
administer employee benefit plans,human resources specialists,2017,6
administer employee benefit plans,human resources specialists,2018,6
administer employee benefit plans,human resources specialists,2019,13
administer employee benefit plans,human resources specialists,2020,9
administer employee benefit plans,human resources specialists,2021,14
administer employee benefit plans,human resources specialists,2022,20
administer employee benefit plans,human resources specialists,2023,25
administer employee benefit plans,human resources specialists,2024,21
administer employee benefit plans,human resources specialists,2025,18
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2007,2
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2011,1
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2012,3
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2013,1
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2014,7
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2015,7
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2016,7
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2017,2
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2018,2
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2019,6
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2020,5
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2021,11
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2022,23
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2023,26
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2024,42
"administer internet or intranet infrastructure, including web, file, and mail servers",web administrators,2025,17
administer online purchasing systems,purchasing managers,2006,1
administer online purchasing systems,purchasing managers,2013,1
administer online purchasing systems,purchasing managers,2014,1
administer online purchasing systems,purchasing managers,2015,4
administer online purchasing systems,purchasing managers,2016,5
administer online purchasing systems,purchasing managers,2017,5
administer online purchasing systems,purchasing managers,2018,4
administer online purchasing systems,purchasing managers,2019,7
administer online purchasing systems,purchasing managers,2020,13
administer online purchasing systems,purchasing managers,2021,15
administer online purchasing systems,purchasing managers,2022,24
administer online purchasing systems,purchasing managers,2023,25
administer online purchasing systems,purchasing managers,2024,33
administer online purchasing systems,purchasing managers,2025,13
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2006,1
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2011,2
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2013,2
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2014,2
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2015,2
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2016,4
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2017,3
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2018,3
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2019,3
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2020,4
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2021,8
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2022,11
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2023,13
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2024,9
"administer systems and programs to reduce loss, maintain inventory control, or increase safety",loss prevention managers,2025,4
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2014,2
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2016,1
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2017,1
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2018,3
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2019,3
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2020,6
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2021,5
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2022,7
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2023,15
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2024,24
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat",credit counselors,2025,8
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2015,1
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2016,2
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2017,2
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2018,2
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2019,3
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2020,1
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2022,3
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2023,2
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2024,6
advise corporations or government agencies of procedures to follow in cleaning up contaminated sites to protect people and the environment,environmental engineers,2025,1
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2010,1
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2019,1
"advise customers concerning equipment operation, maintenance, or programming","computer, automated teller, and office machine repairers",2023,2
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2013,1
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2014,1
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2015,1
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2016,2
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2017,2
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2018,2
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2019,1
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2020,4
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2021,2
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2022,4
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2023,15
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2024,13
"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters",customs brokers,2025,7
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2006,1
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2011,1
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2014,1
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2017,2
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2018,3
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2019,5
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2020,11
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2021,9
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2022,18
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2023,30
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2024,31
"advise licensees or other individuals or groups concerning licensing, permit, or passport regulations",compliance officers,2025,12
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2010,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2013,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2015,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2016,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2017,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2018,1
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2019,2
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2020,2
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2021,2
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2022,5
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2023,4
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2024,4
"advise management regarding customer satisfaction, product performance, or suggestions for product improvements","electrical and electronics repairers, commercial and industrial equipment",2025,1
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2013,2
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2014,3
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2015,1
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2016,3
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2017,3
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2018,5
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2019,5
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2020,11
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2021,9
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2022,11
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2023,17
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2024,10
"advise personnel about traffic problems, such as construction areas, accidents, congestion, weather conditions, or other hazards","dispatchers, except police, fire, and ambulance",2025,2
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2006,1
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2011,2
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2013,2
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2014,2
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2015,2
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2016,4
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2017,3
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2018,3
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2019,3
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2020,4
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2021,7
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2022,11
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2023,13
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2024,8
advise retail establishments on development of loss-investigation procedures,loss prevention managers,2025,4
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2006,1
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2011,2
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2013,2
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2014,2
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2015,2
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2016,4
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2017,3
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2018,3
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2019,3
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2020,4
"advise retail managers on compliance with applicable codes, laws, regulations, or standards",loss prevention managers,2021,8
